State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Alabama,-,260,1750,636,3310,3422,248,0,462,15153,14169,502,19,1658,1481,70,1021,4390,2567,73,1597,1099,1997,433,3512,2246,400,812,239,379,357,751,851,4697,0,1203,241,162,1898,0,873,339,6294,8791,1027,77,4028,1060,245,678,1227,141
Alaska,1105,-,1561,98,5064,862,220,294,338,4906,1378,907,674,135,184,425,7,855,1194,318,0,553,222,1240,80,927,1124,127,2850,392,457,950,596,1568,214,468,188,2068,1008,0,680,14,1506,4622,526,402,1256,4255,192,1070,54,0
Arizona,904,886,-,692,28226,10616,441,0,291,7054,2362,803,5018,5054,4067,2175,2367,990,1357,317,1770,1228,3447,1748,495,3184,1271,1968,8636,970,806,4255,2185,5319,945,3591,2962,6540,3104,423,1704,650,1457,21205,6301,41,2513,8263,356,1917,757,110
Arkansas,813,12,1022,-,3104,1022,0,0,0,3544,3322,169,386,1202,1056,188,1830,521,2497,183,274,0,464,296,2625,4768,68,273,356,154,261,416,1130,1976,46,1195,7421,425,502,0,579,141,5252,12341,888,0,1011,83,120,290,298,149
California,3690,2547,59713,4967,-,29350,4049,161,3437,28628,15437,10954,17722,14692,7255,5819,4957,3410,4228,1644,10092,11430,8672,6232,3024,7970,5298,2035,47322,1110,9155,5915,24332,18023,404,12277,7408,37927,13048,1854,7785,1778,11874,82235,17821,1048,16994,46791,940,6886,3211,826
Colorado,2042,685,14684,1585,15085,-,1165,530,870,13656,2904,2190,3970,3455,2050,4472,7224,1177,1881,982,1960,2094,2459,3647,421,4032,3831,2816,3206,372,3314,5038,5754,6089,585,3905,9020,5730,1631,238,1506,818,4674,18189,7856,687,4588,6829,266,3125,3129,474
Connecticut,705,153,895,87,4067,942,-,415,1298,13227,2927,414,247,1783,2165,142,208,310,109,3092,1885,11690,1569,386,0,997,346,261,694,1701,3484,598,15040,5840,65,3076,430,377,4853,2561,2880,0,740,2085,2830,798,2838,3098,0,826,109,226
Delaware,0,224,653,0,1630,0,45,-,0,3083,1076,0,58,213,48,0,379,0,0,675,5429,13,0,6,0,160,0,9,0,106,1066,108,1655,1595,0,205,0,0,6387,16,595,0,689,930,0,0,1187,0,127,0,0,140
District of Columbia ,248,69,239,295,3075,259,313,442,-,2705,934,189,0,865,251,7,266,133,31,210,17718,956,214,209,28,74,0,0,259,661,629,32,3325,1700,0,306,0,135,1978,0,454,0,157,711,252,253,9540,1510,154,298,0,415
Florida,15519,2473,7358,2118,22692,14124,7501,939,1496,-,46235,1858,895,14534,11926,4397,3828,7139,5296,2797,7766,10360,9941,4070,4712,6848,1715,1474,5429,1182,12032,1804,18976,30032,1168,16590,4109,4218,19629,3084,14136,550,21539,41238,2451,637,21432,7925,3052,5168,909,10000
Georgia,13993,743,3947,1352,14496,6985,1266,344,1190,49681,-,1836,397,3610,2117,498,3105,3740,2809,244,3720,4290,5249,1862,2271,5492,149,358,1432,216,1915,1019,5938,19017,903,7669,1888,848,7481,84,16644,436,12668,24209,668,285,9246,2611,658,1783,203,579
Hawaii,668,217,4942,118,11985,2782,912,0,0,4103,2069,-,599,767,90,71,167,804,175,372,1059,449,1124,30,221,875,32,438,3612,153,218,949,1301,2955,0,587,1531,2798,1325,0,1280,131,522,6977,773,2,1807,5855,256,283,33,0
Idaho,0,1644,2961,157,4372,798,0,0,28,1032,159,1294,-,106,0,1382,76,0,142,21,0,162,205,850,135,1066,2197,386,1660,126,73,318,138,476,60,327,429,5623,183,0,754,112,532,2836,6752,81,659,12599,30,93,1792,264
Illinois,1962,952,10915,1308,24085,10153,1389,562,1361,24425,14438,568,268,-,36328,10843,2449,4843,712,436,1929,4050,10177,8348,3133,17366,1045,1158,4239,390,1854,836,6447,6527,451,7615,2401,1602,3996,624,4210,1300,8607,23747,4238,670,6562,3829,380,22402,49,652
Indiana,3451,0,3156,438,4923,3114,309,0,427,18175,3020,318,454,17156,-,836,1609,11424,258,151,512,1366,11026,2085,234,5811,84,448,594,524,664,368,1470,5646,174,12714,2397,681,2276,150,1596,771,5630,6244,2256,99,2413,2244,178,1951,616,106
Iowa,722,143,2982,674,1956,2589,165,0,59,3669,1566,0,14,10294,1744,-,1010,1573,330,183,130,390,600,5739,246,5774,350,6952,1706,56,61,4,1554,1227,652,1005,551,802,278,413,871,3613,857,3306,929,56,1827,644,119,4289,23,0
Kansas,1212,1296,3742,1139,2941,6544,94,189,41,1813,3931,466,179,2307,1349,1295,-,565,133,0,91,274,1039,607,220,20685,137,4054,559,0,480,475,1329,857,292,1318,4371,954,1073,0,1043,581,1204,12823,552,0,973,1924,45,1421,366,0
Kentucky,1500,1017,383,265,2606,1455,135,0,131,10545,2614,471,183,3514,12483,376,1297,-,171,236,161,621,1961,445,463,2042,49,182,211,376,537,78,1553,4793,0,17884,537,219,1222,148,3545,0,11500,6239,194,12,2619,953,1518,1468,149,42
Louisiana,3789,529,1650,4089,5347,3901,764,41,452,8606,2845,117,117,805,621,502,313,668,-,136,1000,1831,686,192,9257,1488,954,59,1276,391,449,365,1757,1272,144,538,1942,765,1657,53,1721,0,1964,24513,1046,0,2609,1298,0,1167,201,0
Maine,140,77,218,39,2335,900,743,0,448,4812,252,0,231,564,146,0,0,1893,0,-,213,6122,1716,207,0,644,72,47,0,4524,916,119,1918,526,82,251,17,630,1787,475,833,0,339,1212,0,565,856,864,223,175,136,0
Maryland,808,339,1905,535,11775,3555,1720,8646,15499,14831,1992,352,385,2572,542,1444,219,1076,812,787,-,3521,984,826,975,1210,21,1092,2540,927,3772,384,6015,13408,33,2889,672,103,21659,243,6663,290,1744,8660,1152,316,27172,2017,3976,241,0,517
Massachusetts,1452,515,2745,97,16158,6053,13020,548,2383,17056,2876,489,168,3693,469,271,6,301,277,7005,2248,-,2271,2442,252,464,374,218,407,18723,2726,259,17910,5389,113,2304,255,1689,4551,12742,3094,0,1109,8277,545,4045,5480,3526,425,584,100,2463
Michigan,1893,310,7914,820,6406,3101,1091,0,758,21668,4281,90,607,10396,8509,350,537,3825,554,494,1017,1260,-,3106,309,1328,346,510,1229,581,1657,216,5504,6302,1015,14049,794,1250,1969,49,2251,128,6548,11061,748,103,6012,3703,316,5307,93,6
Minnesota,41,417,5868,1142,8951,5523,676,0,278,6239,968,500,324,3930,1599,5358,2373,310,112,0,542,1344,1747,-,0,1321,996,1615,782,92,98,356,2237,2447,13506,1540,638,1368,2708,0,685,5777,1215,5949,770,56,1033,2378,433,17524,492,0
Mississippi,4377,86,393,1867,2354,554,0,26,265,4572,5502,0,192,765,699,424,521,246,5395,0,396,297,1502,495,-,2091,30,238,1861,0,499,83,444,818,0,1413,271,10,65,49,546,24,12011,6316,168,0,1512,136,0,581,0,0
Missouri,864,890,2248,4368,7638,4801,212,37,976,11326,5863,729,404,13389,2373,3461,27065,1498,920,67,263,662,2800,1568,528,-,487,1679,995,0,296,372,1054,2982,1050,3289,4166,947,1760,135,656,445,2492,8085,995,113,3137,1938,361,2796,582,0
Montana,151,113,1636,74,1974,1984,0,29,4,591,359,625,3026,37,326,402,1227,8,248,548,0,392,75,1379,133,589,-,302,1206,278,30,468,194,1004,1660,599,617,2927,15,0,0,674,700,2136,1294,0,1211,6017,0,130,1850,0
Nebraska,386,1,2307,380,2587,4861,189,262,49,1948,2881,200,304,1772,204,7454,2836,341,317,0,80,96,948,1365,290,3190,424,-,90,57,384,0,746,217,288,691,973,312,2007,17,205,1620,419,3842,640,14,556,1780,96,872,927,0
Nevada,771,986,7514,962,26433,3888,174,149,0,3674,1991,2641,2093,1394,2016,492,147,645,829,32,472,869,1348,1081,298,877,1928,35,-,160,717,2303,2366,1094,270,2525,1018,3592,721,0,1087,34,2101,10529,4423,128,2302,2556,64,747,2881,0
New Hampshire,176,0,392,0,709,196,741,78,49,3529,686,48,0,507,0,0,92,0,341,5838,725,11731,742,0,37,277,63,0,460,-,829,97,2417,867,72,493,0,0,1148,290,146,116,297,2098,222,2076,655,2011,37,401,473,63
New Jersey,599,0,3221,420,10812,3677,5297,6955,2758,28222,8455,668,0,3562,1391,85,509,509,229,422,8021,5638,1267,602,183,1515,0,110,960,1012,-,811,31942,15297,1713,5205,467,185,43295,1420,6233,349,2382,10319,588,799,9511,824,527,331,187,848
New Mexico,53,878,7251,0,3418,4895,0,177,466,2349,102,402,325,631,429,366,403,544,374,124,875,41,1061,506,0,482,117,792,4823,97,127,-,1139,1270,677,848,3447,1251,163,51,1581,92,1094,23425,663,184,1468,1137,0,237,377,0
New York,1996,329,6079,642,37567,7965,27606,3044,4314,57488,14641,1940,194,8032,4199,489,1497,2693,1359,1273,6018,17143,6078,2549,2124,2247,1239,472,2711,3556,58664,608,-,23571,445,8780,1505,3462,46618,2359,10416,0,6594,18078,2073,3276,15618,6885,546,2337,389,3126
North Carolina,3597,2557,4038,369,13863,4930,2640,1167,1481,28207,15580,3524,541,4792,5054,1307,1757,2922,1412,2042,5453,3812,2971,1175,1383,5552,718,828,798,269,4294,1263,9847,-,134,4799,2745,1692,7221,887,33940,419,13551,15838,1809,90,26435,1479,2515,1645,4,1221
North Dakota,17,187,1012,39,710,2084,0,0,0,1230,0,302,179,445,42,76,515,162,109,0,173,140,717,8360,291,873,792,968,678,0,0,10,247,980,-,1354,92,414,697,0,971,1218,0,944,147,0,158,904,0,1369,265,79
Ohio,2364,29,5178,569,9098,4432,1369,34,755,30335,5146,1271,403,7684,12038,1358,309,13309,1190,446,2849,2190,12261,2935,2153,1691,500,233,1658,986,628,209,5629,9698,13,-,1163,852,12752,441,5641,107,5547,8975,1455,97,5498,2897,4985,1049,97,1046
Oklahoma,541,359,2042,5826,3747,4412,199,1025,185,6488,1538,131,1903,2326,986,261,4258,378,1973,29,591,69,780,204,292,4644,455,1582,968,0,122,702,530,1705,0,696,-,1350,1975,0,812,374,935,23535,775,0,1486,1383,117,346,564,0
Oregon,245,750,6979,501,17265,3619,523,0,172,4309,1024,1613,7570,1214,951,981,553,255,162,306,399,1288,1110,1119,565,761,1977,78,3392,317,398,976,2091,1976,253,1972,432,-,1004,387,410,958,1453,4430,2873,152,1042,33712,53,639,514,131
Pennsylvania,2336,385,4906,533,12578,3362,3711,8902,1718,34965,7726,23,653,4591,5331,318,2189,3235,710,1249,14376,6043,5074,1349,917,1320,651,157,1582,1306,22445,791,22641,13341,19,16792,881,1678,-,1538,7227,28,1833,9352,478,1401,12284,4833,5706,990,447,3886
Rhode Island,257,0,227,0,2839,820,3788,258,138,2685,1016,116,0,143,37,34,0,0,102,351,177,7784,99,0,0,246,0,62,0,1022,137,83,1623,1531,0,108,65,62,850,-,993,0,399,556,572,216,1098,373,124,146,0,0
South Carolina,2448,448,304,443,5803,1081,910,8,568,9909,18828,189,305,1518,1312,64,308,1040,1549,306,1147,2647,1241,275,1016,987,0,87,767,413,412,355,3169,27740,95,3247,85,568,4742,680,-,162,4872,9240,1295,257,9721,2327,2882,948,509,389
South Dakota,0,280,989,0,1345,1581,539,0,250,1364,500,0,308,285,409,2276,39,63,3,19,0,41,320,3941,0,494,188,2070,417,126,0,85,68,185,2329,722,880,4,507,0,547,-,490,1918,16,0,122,18,0,763,1041,0
Tennessee,9970,301,2253,3237,5863,5549,921,409,991,14573,17210,586,344,2518,3169,546,1316,8070,1948,377,640,1933,4489,1262,9192,4106,0,351,1372,801,527,599,5513,9970,175,4196,1143,1113,2564,136,4184,386,-,9833,1622,63,5310,3115,402,1294,116,0
Texas,8405,4332,17482,12851,37063,32295,2141,744,2073,26174,22452,1667,3198,9106,7095,3936,8374,2878,19675,459,4954,6088,8434,5916,4689,11507,780,4199,5240,892,4489,15762,13033,14226,3075,13564,26383,4441,11490,1597,7631,1080,15068,-,4871,1082,13924,18528,927,5049,1696,809
Utah,2083,1092,8917,710,8504,2458,120,75,0,3433,1182,772,7371,326,490,3,378,1746,129,161,1186,1286,428,314,406,1567,1900,1111,6593,272,540,766,1185,1125,444,2629,155,3684,869,186,548,199,1240,10072,-,41,1736,5440,0,808,1746,0
Vermont,0,44,662,0,784,161,103,0,54,3355,265,65,0,74,40,0,0,95,112,424,368,2167,32,0,10,1094,134,0,0,2370,133,102,3084,435,0,582,363,298,1483,428,336,0,336,445,233,-,1633,391,19,0,0,0
Virginia,2876,2216,3837,671,24506,6796,1764,1260,8828,26031,11686,3107,1715,5338,2096,1051,1556,4170,1526,307,23429,3768,3468,1743,2244,2682,768,1180,1959,890,4810,564,12180,29764,302,5339,2146,1582,12193,863,10143,76,8040,18973,922,527,-,6656,6008,1878,415,1348
Washington,1883,1435,17636,571,31882,7333,191,45,852,6870,2879,4322,13505,4364,2186,781,2325,2232,805,541,1338,2353,1726,5166,526,2903,4907,365,3906,582,996,1330,2697,2984,1759,2155,2039,21339,2394,144,2112,280,3821,15128,4481,413,6580,-,129,1682,885,507
West Virginia,421,355,237,133,303,502,408,219,324,2186,408,197,0,379,10,409,174,983,49,11,4933,63,767,0,647,829,176,148,74,155,494,0,530,2950,0,6056,216,0,3763,83,1559,0,1235,1059,322,20,5518,275,-,572,308,0
Wisconsin,1307,228,3688,797,4811,4454,232,0,362,6563,3898,83,620,12021,1962,4722,610,2088,529,353,1790,281,4361,18403,1146,3004,107,725,1156,621,308,142,1450,1643,313,3490,64,564,942,136,1702,391,1188,4824,547,0,1518,1456,41,-,27,581
Wyoming,0,242,664,1109,1159,3860,0,0,0,624,968,0,662,109,118,434,442,0,0,88,0,154,139,207,0,45,1662,1000,46,0,0,1451,72,161,730,492,326,680,24,0,0,473,46,1311,1549,30,167,626,0,1417,-,0
Puerto Rico,338,37,970,302,1780,642,4280,0,213,14657,1906,204,0,714,136,0,696,92,1165,73,602,3043,990,29,922,1109,11,122,255,475,3036,217,1868,1986,593,2695,741,0,4028,113,1491,682,24,9352,96,3,1896,318,606,513,0,-